date,nav,QQQ,SPUS,SPY,HLAL
2026-07-02,250000.0,250000.0,250000.0,250000.0,250000.0
2026-07-06,253724.4658531189,253585.472947104,252338.50503319883,252181.85227325995,253058.32351713552
2026-07-07,249100.4656765946,248887.88134340383,250441.22164838685,250983.50941235205,250977.92988814632
2026-07-08,250924.849598353,249593.0489811,251191.3186484768,250208.1135008993,251884.77509348988
2026-07-09,255662.06795955144,253746.86152008205,253529.82368167568,252326.18773435816,254509.2378615036
2026-07-10,257343.1414692092,254529.2010321331,254941.753154346,253413.75389715988,256205.53001933283
2026-07-13,250808.8987738332,249698.2930883293,251500.17716865303,251473.57388779128,252773.8219965745
2026-07-14,254882.50934561345,252487.3797005252,252647.36355337503,252366.4664450067,254830.01427554069
2026-07-15,253417.52393090288,251803.2608842749,253485.70824944784,253366.7552388548,255701.2925125616
2026-07-16,246792.10287504047,247663.49516814988,251764.92025660136,251993.8576400396,252767.4401511499
2026-07-17,244533.7035097456,243941.2155880677,249073.42443947145,249499.83511543064,250150.07832736627
2026-07-20,245414.3870594538,244197.31315113232,248499.82283134697,249097.04800894504,249716.2163310345
2026-07-21,252126.63437868503,248726.4927704257,251809.03568882923,251174.8435317553,253332.86345197863
2026-07-22,251819.67689482323,247456.49724656573,251809.03568882923,250882.7921480853,253137.27148577545
2026-07-23,247004.0383682095,242758.9270557054,248720.4336555404,247784.5684761027,248720.4852782314
2026-07-27,240689.820420114,239306.7704487052,247043.7779264488,248090.0392674404,246871.24721019456
2026-07-28,236686.8572532937,236980.77932115816,246734.9025747456,248684.1604933293,246217.97167097405
2026-07-29,232126.1443357112,232153.38308306865,242454.9987245069,244857.53956819905,241917.4531749918
2026-07-30,242686.46640532312,239808.45187053143,249073.42443947148,248962.77198168627,248292.65466806467
2026-07-31,242665.6229661063,241366.1288960448,248543.95509510188,250755.2565561284,248577.1557722998
2026-08-03,246832.9105502636,245604.13672081032,252250.2573372161,254326.7653220542,252880.13323066145
2026-08-04,254804.31303573723,253946.814617398,258559.8245320045,258912.0232647865,258979.70558891265
2026-08-05,253960.68827200323,251648.8957227253,258559.8245320045,258395.07899872115,258001.77436564205
2026-08-06,252633.6017480753,250719.2144605532,258912.8153159356,257982.2119707508,258275.2337153076
2026-08-07,254720.709590116,253659.1545285844,261030.709524941,259559.86309663704,260099.5596961573
2026-08-10,253093.5328003308,252901.35413085367,260104.1339644124,259482.66564916816,259495.0143138656
2026-08-11,252217.77465975448,252052.3564487508,259530.532356288,258653.55113175383,258380.85687181336
2026-08-12,255285.29188499608,253894.2032702032,259530.532356288,259301.3909636044,258380.85687181336
2026-08-13,258330.0803344581,256830.6316325201,260979.4337262325,261110.6549195425,260565.8263386128
2026-08-14,259436.0785036024,256479.8036665292,260408.6630269253,260593.73114112247,260007.449313826
2026-08-17,260847.1576603093,256058.8058247721,259925.69032062727,259361.80902957724,259487.696616216
2026-08-18,254693.99009514105,251722.57730420577,257335.2140541694,257609.623653429,256438.232012615
2026-08-19,253798.7452295052,251220.89588237955,257993.7994954353,258150.0467610016,256821.94073913377
2026-08-20,253396.1670134549,249414.1232923904,256457.08338353207,255981.6138954094,255341.29743022245
2026-08-21,254167.56721876093,250294.70491308192,257379.113050674,257028.90134756253,256304.9941395284
2026-08-24,250933.21586802893,247796.81150825368,255008.1820135876,256273.64479143408,254072.87566400343
2026-08-25,253107.68378986712,249340.44171090992,256193.63915765609,257092.67938736363,255242.09216464357
2026-08-26,253450.55437836275,249568.4884539399,255956.45208677015,257149.7579671535,254994.07900069634
